,Title,rating,count
103,August (1996),1.0,1
135,Baton Rouge (1988),1.0,1
177,Bird of Prey (1996),1.0,1
192,"Bloody Child, The (1996)",1.0,1
251,Butterfly Kiss (1995),1.0,1
265,Careful (1992),1.0,1
359,"Crude Oasis, The (1995)",1.0,1
371,Daens (1992),1.0,1
395,"Death in the Garden (Mort en ce jardin, La) (1956)",1.0,1
473,Every Other Weekend (1990),1.0,1
483,"Eye of Vichy, The (Oeil de Vichy, L') (1993)",1.0,1
576,"Further Gesture, A (1996)",1.0,1
594,Getting Away With Murder (1996),1.0,1
605,Girl in the Cadillac (1995),1.0,1
620,Good Morning (1971),1.0,1
674,Hedd Wyn (1992),1.0,1
689,Homage (1995),1.0,1
699,Hostile Intentions (1994),1.0,1
714,"Hungarian Fairy Tale, A (1987)",1.0,1
727,"I, Worst of All (Yo, la peor de todas) (1990)",1.0,1
756,"Invitation, The (Zaproszenie) (1986)",1.0,1
763,JLG/JLG - autoportrait de décembre (1994),1.0,1
818,King of New York (1990),1.0,1
836,Lashou shentan (1992),1.0,1
858,"Leopard Son, The (1996)",1.0,1
861,Liebelei (1933),1.0,1
893,Lotto Land (1995),1.0,1
907,"Low Life, The (1994)",1.0,1
931,"Man from Down Under, The (1943)",1.0,1
951,Mat' i syn (1997),1.0,1
980,Mille bolle blu (1993),1.0,1
990,"Modern Affair, A (1995)",1.0,1
1001,"Mostro, Il (1994)",1.0,1
1050,"New Age, The (1994)",1.0,1
1073,Nobody Loves Me (Keiner liebt mich) (1994),1.0,1
1090,Office Killer (1997),1.0,1
1144,Pharaoh's Army (1995),1.0,1
1162,Police Story 4: Project S (Chao ji ji hua) (1993),1.0,1
1170,Power 98 (1995),1.0,1
1186,"Promise, The (Versprechen, Das) (1994)",1.0,1
1195,Quartier Mozart (1992),1.0,1
1308,Shadow of Angels (Schatten der Engel) (1976),1.0,1
1311,Shadows (Cienie) (1988),1.0,1
1405,Stefano Quantestorie (1993),1.0,1
1446,"Symphonie pastorale, La (1946)",1.0,1
1447,T-Men (1947),1.0,1
1462,Terror in a Texas Town (1958),1.0,1
1468,The Courtyard (1995),1.0,1
1493,Tigrero: A Film That Was Never Made (1994),1.0,1
1503,To Cross the Rubicon (1991),1.0,1
1522,Touki Bouki (Journey of the Hyena) (1973),1.0,1
1579,Vermont Is For Lovers (1992),1.0,1
1582,"Very Natural Thing, A (1974)",1.0,1
1584,"Vie est belle, La (Life is Rosey) (1987)",1.0,1
1610,Wend Kuuni (God's Gift) (1982),1.0,1
1646,"Woman in Question, The (1950)",1.0,1
1654,Yankee Zulu (1994),1.0,1
111,Babyfever (1994),1.0,2
163,Beyond Bedlam (1993),1.0,2
217,Boys in Venice (1996),1.0,2
491,Falling in Love Again (1980),1.0,2
1358,Somebody to Love (1994),1.0,2
1577,Venice/Venice (1992),1.0,2
66,Amityville: Dollhouse (1996),1.0,3
625,Gordy (1995),1.0,3
978,"Mighty, The (1998)",1.0,3
8,3 Ninjas: High Noon At Mega Mountain (1998),1.0,5
60,Amityville 1992: It's About Time (1992),1.0,5
65,Amityville: A New Generation (1993),1.0,5
61,Amityville 3-D (1983),1.1666666666666667,6
62,"Amityville Curse, The (1990)",1.25,4
276,Castle Freak (1995),1.25,4
294,Children of the Corn: The Gathering (1996),1.3157894736842106,19
280,Catwalk (1995),1.3333333333333333,3
603,Gilligan's Island: The Movie (1998),1.3333333333333333,3
449,Ed (1996),1.3333333333333333,6
1471,Theodore Rex (1995),1.4,5
267,Carmen Miranda: Bananas Is My Business (1994),1.5,2
344,Country Life (1994),1.5,2
357,Crows and Sparrows (1949),1.5,2
436,Dream Man (1995),1.5,2
784,Johnny 100 Pesos (1993),1.5,2
913,"Machine, The (1994)",1.5,2
1041,Naked in New York (1994),1.5,2
1305,"Sexual Life of the Belgians, The (1994)",1.5,2
1426,Sudden Manhattan (1996),1.5,2
1494,Time Tracers (1995),1.5,2
157,Best of the Best 3: No Turning Back (1995),1.5,6
248,Bushwhacked (1995),1.5714285714285714,7
595,Getting Even with Dad (1994),1.6,5
1145,Phat Beach (1996),1.6,5
